"Seed","Imputation","Sensitivity_Observed","Specificity_Observed","Sensitivity_Forecast","Specificity_Forecast","Sensitivity_Overall","Specificity_Overall"
41,1,0.642045454545455,0.99236641221374,0.851648351648352,0.992227979274611,0.783333333333333,0.992307692307692
42,1,0.646464646464647,0.998336106489185,0.790794979079498,0.970645792563601,0.748520710059172,0.985611510791367
43,1,0.606741573033708,0.986590038314176,0.857487922705314,0.985119047619048,0.782094594594595,0.986013986013986
44,1,0.5,0.991379310344828,0.842565597667638,0.987714987714988,0.75377969762419,0.989868287740628
45,1,0.708791208791209,0.99034749034749,0.865979381443299,0.975138121546961,0.815789473684211,0.984090909090909
46,1,0.5125,0.920967741935484,0.780979827089337,0.818858560794045,0.730679156908665,0.880742913000978
47,1,0.666666666666667,0.987368421052632,0.903846153846154,0.982269503546099,0.826839826839827,0.985468956406869
48,1,0.58974358974359,0.974257425742574,0.888157894736842,0.986394557823129,0.798771121351767,0.978723404255319
49,1,0.573529411764706,0.977822580645161,0.885167464114832,0.984939759036145,0.782958199356913,0.980676328502415
50,1,0.421052631578947,0.996587030716723,0.81733746130031,0.976580796252927,0.71395881006865,0.988153998025666
51,1,0.681081081081081,0.984466019417476,0.943977591036415,0.984732824427481,0.854243542435424,0.984581497797357
52,1,0.544776119402985,0.96643109540636,0.84375,0.979041916167665,0.770909090909091,0.971111111111111
53,1,0.605555555555556,0.986538461538462,0.865707434052758,0.978978978978979,0.787269681742044,0.98358733880422
54,1,1,0.0191570881226054,1,0,1,0.0107642626480086
55,1,1,0.0170648464163823,1,0,1,0.00963391136801541
56,1,0.510791366906475,0.991087344028521,0.781869688385269,0.979848866498741,0.705284552845528,0.98643006263048
57,1,0.555555555555556,0.973451327433628,0.815028901734104,0.965346534653465,0.742203742203742,0.970072239422085
58,1,0.597122302158273,0.992869875222816,0.833333333333333,0.984848484848485,0.766734279918864,0.989550679205852
59,1,0.5625,0.990458015267176,0.854591836734694,0.986033519553073,0.764084507042254,0.988662131519274
60,1,0.583333333333333,0.986538461538462,0.854415274463007,0.969788519637462,0.772954924874791,0.980023501762632
61,1,0.533333333333333,0.987272727272727,0.869806094182826,0.992287917737789,0.771037181996086,0.989350372736954
